,yhat
2021-12-03 14:00:00,28565.850394656958
2021-12-03 15:00:00,29349.158596979454
2021-12-03 16:00:00,30463.421038600824
2021-12-03 17:00:00,31709.832637736945
2021-12-03 18:00:00,32724.665805542732
2021-12-03 19:00:00,33103.0172119295
2021-12-03 20:00:00,32620.727273256925
2021-12-03 21:00:00,31382.495922599566
2021-12-03 22:00:00,29756.963601588235
2021-12-03 23:00:00,28137.72058570933
2021-12-04 00:00:00,26727.493417358008
2021-12-04 01:00:00,25523.27723855857
2021-12-04 02:00:00,24492.47776930969
2021-12-04 03:00:00,23749.447644012886
2021-12-04 04:00:00,23542.384446758057
2021-12-04 05:00:00,24045.26225673983
2021-12-04 06:00:00,25143.848150723898
2021-12-04 07:00:00,26423.66529226806
2021-12-04 08:00:00,27392.566231209523
2021-12-04 09:00:00,27765.92078016026
2021-12-04 10:00:00,27596.27556803296
2021-12-04 11:00:00,27174.774837690264
2021-12-04 12:00:00,26822.415275285737
2021-12-04 13:00:00,26748.395596701812
2021-12-04 14:00:00,27043.83427206337
2021-12-04 15:00:00,27731.084369886663
2021-12-04 16:00:00,28756.88902256702
2021-12-04 17:00:00,29923.64834994787
2021-12-04 18:00:00,30868.783357935532
2021-12-04 19:00:00,31188.468986009233
2021-12-04 20:00:00,30659.540487620674
2021-12-04 21:00:00,29387.59686384122
2021-12-04 22:00:00,27742.07044186049
2021-12-04 23:00:00,26117.22585108376
2021-12-05 00:00:00,24716.337301644224
2021-12-05 01:00:00,23536.813074645117
2021-12-05 02:00:00,22546.331069963053
2021-12-05 03:00:00,21859.370209929097
2021-12-05 04:00:00,21724.105109327786
2021-12-05 05:00:00,22314.335870285657
2021-12-05 06:00:00,23515.50448138237
2021-12-05 07:00:00,24912.65946258166
2021-12-05 08:00:00,26013.032370127687
2021-12-05 09:00:00,26531.230502170347
2021-12-05 10:00:00,26518.90285819563
2021-12-05 11:00:00,26266.168853488318
2021-12-05 12:00:00,26092.882493929057
2021-12-05 13:00:00,26206.99263529927
2021-12-05 14:00:00,26698.272593062575
2021-12-05 15:00:00,27587.647952806994
2021-12-05 16:00:00,28820.365940204138
2021-12-05 17:00:00,30197.277032212154
2021-12-05 18:00:00,31354.214162678916
2021-12-05 19:00:00,31885.741524502017
2021-12-05 20:00:00,31567.076975571003
2021-12-05 21:00:00,30502.21158859036
2021-12-05 22:00:00,29058.995255116883
2021-12-05 23:00:00,27630.151416171164
2021-12-06 00:00:00,26417.469647261918
2021-12-06 01:00:00,25416.94483492414
2021-12-06 02:00:00,24594.92662672438
2021-12-06 03:00:00,24064.663797246518
2021-12-06 04:00:00,24073.21079661282
2021-12-06 05:00:00,24793.36820891206
2021-12-06 06:00:00,26109.70848360414
2021-12-06 07:00:00,27606.548478728524
2021-12-06 08:00:00,28790.532348409466
2021-12-06 09:00:00,29375.829047453295
2021-12-06 10:00:00,29413.80145888758
2021-12-06 11:00:00,29194.436618362626
2021-12-06 12:00:00,29037.609730895274
2021-12-06 13:00:00,29151.442615608295
2021-12-06 14:00:00,29626.029874245545
2021-12-06 15:00:00,30482.761683041288
2021-12-06 16:00:00,31667.486634364734
2021-12-06 17:00:00,32981.78539424349
2021-12-06 18:00:00,34062.34063051962
2021-12-06 19:00:00,34504.67533091812
2021-12-06 20:00:00,34085.06364616587
2021-12-06 21:00:00,32908.63794261769
2021-12-06 22:00:00,31344.461125237623
2021-12-06 23:00:00,29786.527463985727
2021-12-07 00:00:00,28437.940820038184
2021-12-07 01:00:00,27296.03917714722
2021-12-07 02:00:00,26328.529336274027
2021-12-07 03:00:00,25650.016588045306
2021-12-07 04:00:00,25508.89680151734
2021-12-07 05:00:00,26079.282823914535
2021-12-07 06:00:00,27247.01671541778
2021-12-07 07:00:00,28597.629511550615
2021-12-07 08:00:00,29638.91218835737
2021-12-07 09:00:00,30086.102235158232
2021-12-07 10:00:00,29991.542959012473
2021-12-07 11:00:00,29646.105098935375
2021-12-07 12:00:00,29370.443533423277
2021-12-07 13:00:00,29373.349788452164
2021-12-07 14:00:00,29745.473695525376
2021-12-07 15:00:00,30508.64313550352
2021-12-07 16:00:00,31609.02531134141
2021-12-07 17:00:00,32848.40031567722
2021-12-07 18:00:00,33863.53242786048
2021-12-07 19:00:00,34249.911221612725
2021-12-07 20:00:00,33783.66656516877
2021-12-07 21:00:00,32569.681124491042
2021-12-07 22:00:00,30976.66934455371
2021-12-07 23:00:00,29398.186040065342
2021-12-08 00:00:00,28036.81337507647
